Ticker,Date,CallVol,PutVol,PutCallRatio
XLC,2014-02-12,3032,4202,1.385883905
XLC,2014-02-11,12942,3046,0.23535775
XLC,2014-02-10,2946,1294,0.439239647
XLC,2014-02-07,604,270,0.447019868
XLC,2014-02-06,4860,1772,0.36460905299999996
XLC,2014-02-05,6288,184,0.029262087000000003
XLC,2014-02-04,8800,608,0.069090909
XLC,2014-02-03,7036,6854,0.97413303
XLC,2014-01-31,3292,5996,1.821385176
XLC,2014-01-30,1650,414,0.25090909100000003
XLC,2014-01-29,2784,834,0.299568966
XLC,2014-01-28,2380,192,0.080672269
XLC,2014-01-27,18770,6308,0.336068194
XLC,2014-01-24,1194,478,0.400335008
XLC,2014-01-23,9200,350,0.038043478
XLC,2014-01-22,2060,850,0.41262135899999997
XLC,2014-01-21,832,3416,4.105769231
XLC,2014-01-17,6778,8974,1.323989377
XLC,2014-01-16,1630,574,0.352147239
XLC,2014-01-15,2028,5688,2.804733728
XLC,2014-01-14,1382,4864,3.519536903
XLC,2014-01-13,1116,1302,1.166666667
XLC,2014-01-10,542,260,0.479704797
XLC,2014-01-09,900,610,0.6777777779999999
XLC,2014-01-08,1848,546,0.295454545
XLC,2014-01-07,1952,1434,0.734631148
XLC,2014-01-06,908,3094,3.407488987
XLC,2014-01-03,602,104,0.172757475
XLC,2014-01-02,360,5482,15.22777778
XLE,2014-03-02,114774,67422,0.587432694
XLE,2014-02-28,254302,134792,0.5300469520000001
XLE,2014-02-27,321664,139386,0.433327945
XLE,2014-02-26,88014,129156,1.46744836
XLE,2014-02-25,115468,213822,1.851785776
XLE,2014-02-24,91354,155924,1.706810868
XLE,2014-02-21,50012,54264,1.085019595
XLE,2014-02-20,50444,46410,0.9200301320000001
XLE,2014-02-19,72220,83688,1.158792578
XLE,2014-02-18,36806,54570,1.4826386999999999
XLE,2014-02-14,36556,82760,2.263923843
XLE,2014-02-13,36910,26200,0.709834733
XLE,2014-02-12,97402,72292,0.7422024190000001
XLE,2014-02-11,38062,62260,1.6357521940000002
XLE,2014-02-10,40006,86318,2.1576263559999997
XLE,2014-02-07,85922,110094,1.281324923
XLE,2014-02-06,57534,40382,0.701880627
XLE,2014-02-05,186688,101142,0.541770226
XLE,2014-02-04,81680,65518,0.8021302640000001
XLE,2014-02-03,82134,106986,1.302578713
XLE,2014-01-31,116386,224586,1.92966508
XLE,2014-01-30,87732,180038,2.0521360509999997
XLE,2014-01-29,57926,56578,0.97672893
XLE,2014-01-28,35262,53278,1.510918269
XLE,2014-01-27,87484,92926,1.06220566
XLE,2014-01-24,79226,57026,0.719788958
XLE,2014-01-23,93174,74082,0.795093052
XLE,2014-01-22,97628,146096,1.496455935
XLE,2014-01-21,105066,77882,0.7412673940000001
XLE,2014-01-17,41520,55114,1.327408478
XLE,2014-01-16,38142,19556,0.5127156420000001
XLE,2014-01-15,54664,87018,1.591870335
XLE,2014-01-14,18010,25060,1.391449195
XLE,2014-01-13,60216,68654,1.140128869
XLE,2014-01-10,104880,45106,0.430072464
XLE,2014-01-09,102220,37348,0.36536881200000004
XLE,2014-01-08,74098,151138,2.039704176
XLE,2014-01-07,176508,68804,0.389806694
XLE,2014-01-06,57408,53264,0.927814939
XLE,2014-01-03,139686,48732,0.34886817600000003
XLE,2014-01-02,93996,31088,0.33073747800000003
XLV,2014-03-02,32218,36298,1.126637284
XLV,2014-02-28,37542,217680,5.7983058970000005
XLV,2014-02-27,25940,78602,3.030146492
XLV,2014-02-26,16804,53954,3.210783147
XLV,2014-02-25,38770,140584,3.6261026569999997
XLV,2014-02-24,39932,107358,2.688520485
XLV,2014-02-21,35172,29514,0.8391334020000001
XLV,2014-02-20,20844,45162,2.166666667
XLV,2014-02-19,15876,12462,0.7849584279999999
XLV,2014-02-18,30282,26038,0.859850736
XLV,2014-02-14,5970,17090,2.8626465660000004
XLV,2014-02-13,7248,15406,2.125551876
XLV,2014-02-12,11534,71188,6.172013177999999
XLV,2014-02-11,25520,58636,2.2976489030000002
XLV,2014-02-10,12662,18786,1.4836518719999998
XLV,2014-02-07,10830,29408,2.715420129
XLV,2014-02-06,22576,27100,1.2003897940000001
XLV,2014-02-05,20404,150112,7.356988826
XLV,2014-02-04,49370,96504,1.954709338
XLV,2014-02-03,22910,124532,5.435704932
XLV,2014-01-31,29380,267112,9.091626957
XLV,2014-01-30,63432,141624,2.232690125
XLV,2014-01-29,13056,33014,2.528645833
XLV,2014-01-28,9928,18948,1.908541499
XLV,2014-01-27,12152,96518,7.942560895
XLV,2014-01-24,21264,116196,5.4644469529999995
XLV,2014-01-23,12200,86654,7.102786885
XLV,2014-01-22,11548,47488,4.112227225
XLV,2014-01-21,20230,43786,2.1644092930000003
XLV,2014-01-17,30262,44534,1.471614566
XLV,2014-01-16,10940,14340,1.310786106
XLV,2014-01-15,19540,62088,3.177482088
XLV,2014-01-14,23106,67424,2.9180299489999997
XLV,2014-01-13,19632,103028,5.24796251
XLV,2014-01-10,8650,21332,2.4661271680000003
XLV,2014-01-09,22852,30016,1.313495536
XLV,2014-01-08,9792,18428,1.8819444440000002
XLV,2014-01-07,5334,16746,3.139482565
XLV,2014-01-06,12840,37102,2.8895638630000002
XLV,2014-01-03,13500,41070,3.042222222
XLV,2014-01-02,12528,9920,0.7918263090000001
XLI,2014-03-02,21858,27124,1.240918657
XLI,2014-02-28,37332,83034,2.224204436
XLI,2014-02-27,21940,118430,5.397903372999999
XLI,2014-02-26,23138,51030,2.205462875
XLI,2014-02-25,46846,89636,1.913418435
XLI,2014-02-24,16480,84378,5.120024272
XLI,2014-02-21,10986,34880,3.1749499360000004
XLI,2014-02-20,14936,24844,1.663363685
XLI,2014-02-19,3396,16568,4.878680801000001
XLI,2014-02-18,3234,7686,2.376623377
XLI,2014-02-14,10570,29166,2.759318827
XLI,2014-02-13,2624,14164,5.397865854
XLI,2014-02-12,7146,18400,2.574867058
XLI,2014-02-11,5650,15074,2.667964602
XLI,2014-02-10,7914,34488,4.357846854
XLI,2014-02-07,9766,24596,2.518533688
XLI,2014-02-06,22184,51716,2.331229715
XLI,2014-02-05,22896,39080,1.706848358
XLI,2014-02-04,7416,29744,4.010787487
XLI,2014-02-03,29486,22290,0.755951977
XLI,2014-01-31,57096,137926,2.4156858619999997
XLI,2014-01-30,9356,58406,6.242625052999999
XLI,2014-01-29,9450,37868,4.007195767
XLI,2014-01-28,12650,11982,0.9471936759999999
XLI,2014-01-27,18590,21472,1.155029586
XLI,2014-01-24,5092,33708,6.6197957579999995
XLI,2014-01-23,10882,43800,4.024995405
XLI,2014-01-22,19272,69050,3.582918223
XLI,2014-01-21,4704,34192,7.268707482999999
XLI,2014-01-17,15082,15328,1.016310834
XLI,2014-01-16,10450,21278,2.0361722490000003
XLI,2014-01-15,7708,15684,2.034769071
XLI,2014-01-14,5112,9298,1.81885759
XLI,2014-01-13,8950,9730,1.087150838
XLI,2014-01-10,8278,5390,0.65112346
XLI,2014-01-09,22594,10212,0.45197840100000003
XLI,2014-01-08,6422,6630,1.032388664
XLI,2014-01-07,11056,3428,0.310057887
XLI,2014-01-06,13402,18496,1.3800925240000002
XLI,2014-01-03,20696,25940,1.2533822959999998
XLI,2014-01-02,11452,15384,1.34334614
XLB,2014-03-02,7182,9264,1.289891395
XLB,2014-02-28,13242,13770,1.039873131
XLB,2014-02-27,8512,19824,2.328947368
XLB,2014-02-26,5526,6656,1.204487875
XLB,2014-02-25,27642,18754,0.6784603140000001
XLB,2014-02-24,8094,18254,2.255250803
XLB,2014-02-21,3558,18452,5.186059584
XLB,2014-02-20,10780,6672,0.6189239329999999
XLB,2014-02-19,914,3464,3.7899343539999997
XLB,2014-02-18,962,1902,1.9771309769999998
XLB,2014-02-14,6946,2916,0.41980996299999995
XLB,2014-02-13,5846,10382,1.775915156
XLB,2014-02-12,2352,5770,2.453231293
XLB,2014-02-11,4498,11206,2.49132948
XLB,2014-02-10,4784,8242,1.7228260869999998
XLB,2014-02-07,66888,69560,1.039947375
XLB,2014-02-06,1452,13258,9.130853994
XLB,2014-02-05,7406,11574,1.56278693
XLB,2014-02-04,5624,14698,2.61344239
XLB,2014-02-03,4716,18740,3.9737065310000004
XLB,2014-01-31,2680,11390,4.25
XLB,2014-01-30,1938,14142,7.297213622
XLB,2014-01-29,2460,2914,1.1845528459999999
XLB,2014-01-28,2066,8344,4.0387221680000005
XLB,2014-01-27,13308,11268,0.846708747
