Ticker,Date,Price,Open,High,Low,ChangePercent
US5YR,2017-03-12,2.11,2.108,2.112,2.106,0.0056
US5YR,2017-03-10,2.098,2.138,2.148,2.093,-0.0187
US5YR,2017-03-09,2.138,2.093,2.14,2.084,0.0225
US5YR,2017-03-08,2.091,2.054,2.113,2.039,0.0195
US5YR,2017-03-07,2.051,2.014,2.053,2.011,0.0169
US5YR,2017-03-06,2.017,2.006,2.027,1.986,0.0048
US5YR,2017-03-05,2.007,2.011,2.012,2.006,-0.0023
US5YR,2017-03-03,2.012,2.02,2.061,2.009,-0.0035
US5YR,2017-03-02,2.019,2.009,2.049,1.982,0.0136
US5YR,2017-03-01,1.992,1.959,2.006,1.946,0.0279
US5YR,2017-02-28,1.938,1.865,1.949,1.845,0.038
US5YR,2017-02-27,1.867,1.816,1.873,1.809,0.029
US5YR,2017-02-26,1.814,1.813,1.816,1.811,0.0046
US5YR,2017-02-24,1.806,1.867,1.868,1.799,-0.0301
US5YR,2017-02-23,1.862,1.91,1.914,1.86,-0.0236
US5YR,2017-02-22,1.907,1.928,1.957,1.888,-0.0073
US5YR,2017-02-21,1.921,1.921,1.952,1.905,0
US5YR,2017-02-20,1.921,1.905,1.923,1.905,0.0087
US5YR,2017-02-17,1.905,1.953,1.956,1.89,-0.016
US5YR,2017-02-16,1.936,1.998,1.998,1.93,-0.0296
US5YR,2017-02-15,1.995,1.97,2.02,1.958,0.0148
US5YR,2017-02-14,1.966,1.915,1.99,1.906,0.0266
US5YR,2017-02-13,1.915,1.9,1.928,1.895,0.008
US5YR,2017-02-12,1.9,1.887,1.906,1.887,0.0068
US5YR,2017-02-10,1.887,1.877,1.901,1.87,0.0102
US5YR,2017-02-09,1.868,1.804,1.875,1.802,0.0355
US5YR,2017-02-08,1.804,1.849,1.857,1.794,-0.0249
US5YR,2017-02-07,1.85,1.847,1.877,1.817,-0.0016
US5YR,2017-02-06,1.853,1.915,1.916,1.844,-0.0313
US5YR,2017-02-05,1.913,1.911,1.921,1.911,0.001
